time,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,6.3,16.3,3.9,16.2,16.3,16.2,13.5,7.7,16.0,16.2,16.2,16.2,16.3,16.3,18.6,16.3
2,6.3,16.2,3.6,16.1,16.3,16.2,11.3,7.0,16.0,16.2,16.2,16.2,16.2,16.2,16.9,16.2
3,6.3,16.2,8.1,16.1,16.2,16.1,10.5,7.1,16.0,16.1,16.2,16.2,16.2,16.2,16.5,16.2
