date,time,54,55,56,57,58,61,62,63,64,65,66,67,68,69
02:29:29,58,nan,nan,nan,nan,nan,nan,1.69,nan,nan,21.04,21.28,20.15,5.42,21.44
02:30:29,59,nan,nan,nan,nan,nan,nan,1.49,nan,nan,21.04,21.28,20.14,5.10,21.46
02:31:30,60,nan,nan,nan,nan,nan,nan,1.46,nan,nan,21.04,21.27,20.12,5.16,21.51
02:32:30,61,nan,nan,nan,nan,nan,nan,1.38,nan,nan,21.03,21.27,20.13,5.01,21.51
02:33:31,62,nan,nan,nan,nan,nan,nan,2.02,nan,nan,21.04,21.27,20.16,5.43,21.49
02:34:32,63,nan,nan,nan,nan,nan,nan,2.81,nan,nan,21.05,21.26,20.17,5.32,21.49
02:35:32,64,nan,nan,nan,nan,nan,nan,1.74,nan,nan,21.05,21.25,20.17,4.57,21.48
02:36:33,65,nan,nan,nan,nan,nan,nan,1.78,nan,nan,21.04,21.25,20.17,5.51,21.54
02:37:33,66,nan,nan,nan,nan,nan,nan,1.76,nan,nan,21.02,21.26,20.16,4.73,21.53
02:38:34,67,nan,nan,nan,nan,nan,nan,2.46,nan,nan,21.01,21.25,20.16,4.82,21.49
02:39:35,68,nan,nan,nan,nan,nan,nan,2.06,nan,nan,21.01,21.25,20.14,4.84,21.46
02:40:35,69,nan,nan,nan,nan,nan,nan,1.58,nan,nan,21.01,21.24,20.14,5.45,21.47
02:41:36,70,nan,nan,nan,nan,nan,nan,1.15,nan,nan,21.00,21.24,20.12,5.19,21.41
02:42:37,71,nan,nan,nan,nan,nan,nan,1.34,nan,nan,21.00,21.23,20.09,5.29,21.43
02:43:37,72,nan,nan,nan,nan,nan,nan,1.37,nan,nan,20.98,21.23,20.07,4.97,21.45
02:44:38,73,nan,nan,nan,nan,nan,nan,1.44,nan,nan,20.99,21.23,20.09,5.00,21.41
02:45:38,74,nan,nan,nan,nan,nan,nan,1.15,nan,nan,21.06,21.22,20.09,5.03,21.42
02:46:39,75,nan,nan,nan,nan,nan,nan,1.05,nan,nan,21.08,21.22,20.13,5.06,21.36
02:47:40,76,nan,nan,nan,nan,nan,nan,0.96,nan,nan,21.09,21.21,20.16,5.49,21.33
02:48:40,77,nan,nan,nan,nan,nan,nan,1.64,nan,nan,21.10,21.20,20.16,5.13,21.31
02:49:41,78,nan,nan,nan,nan,nan,nan,1.33,nan,nan,21.09,21.21,20.17,5.25,21.29
02:50:41,79,nan,nan,nan,nan,nan,nan,1.08,nan,nan,21.09,21.21,20.17,5.17,21.22
02:51:42,80,nan,nan,nan,nan,nan,nan,1.22,nan,nan,21.09,21.21,20.17,5.40,21.28
02:52:43,81,nan,nan,nan,nan,nan,nan,2.32,nan,nan,21.14,21.20,20.18,5.02,21.30
02:53:43,82,nan,nan,nan,nan,nan,nan,1.49,nan,nan,21.13,21.20,20.17,5.00,21.35
02:54:44,83,nan,nan,nan,nan,nan,nan,1.58,nan,nan,21.14,21.20,20.18,5.44,21.40
02:55:45,84,nan,nan,nan,nan,nan,nan,1.70,nan,nan,21.14,21.20,20.17,4.57,21.37
02:56:45,85,nan,nan,nan,nan,nan,nan,1.43,nan,nan,21.14,21.19,20.15,4.70,21.35
02:57:46,86,nan,nan,nan,nan,nan,nan,2.43,nan,nan,21.15,21.20,20.15,4.47,21.37
02:58:46,87,nan,nan,nan,nan,nan,nan,1.50,nan,nan,21.14,21.19,20.15,4.98,21.38
02:59:47,88,nan,nan,nan,nan,nan,nan,0.91,nan,nan,21.15,21.19,20.15,5.08,21.34
03:00:48,89,nan,nan,nan,nan,nan,nan,0.87,nan,nan,21.14,21.19,20.16,5.15,21.32
03:01:48,90,nan,nan,nan,nan,nan,nan,1.20,nan,nan,21.14,21.19,20.16,5.49,21.29
