time,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,26.7,16.4,2.8,16.3,16.2,16.4,12.6,nan,16.5,16.6,16.5,16.4,16.2,16.5,12.6,16.2
2,27.2,16.4,2.9,16.3,16.2,16.4,12.8,nan,16.5,16.5,16.5,16.4,16.2,16.5,13.2,16.2
3,27.2,16.3,3.0,16.3,16.2,16.4,12.9,nan,16.4,16.5,16.4,16.3,16.1,16.4,13.4,16.2
4,27.5,16.3,3.2,16.2,16.1,16.4,13.1,nan,16.4,16.5,16.4,16.3,16.1,16.4,13.8,16.1
