12/19/22
time,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,21.00,42.52,9.23,20.83,21.10,21.19,4.06,5.09,21.12,21.10,20.67,20.99,20.58,21.41,2.55,21.16
2,21.00,45.95,10.07,20.83,21.11,21.17,4.26,5.09,21.11,21.09,20.65,20.98,20.58,21.39,2.68,21.17
3,21.00,48.28,10.15,20.81,21.10,21.17,4.30,5.09,21.10,21.06,20.62,20.97,20.59,21.39,2.61,21.16
4,21.00,46.21,10.34,20.82,21.09,21.17,4.24,5.07,21.11,21.08,20.67,20.97,20.60,21.38,2.58,21.16
