time,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
1,16.3,16.3,16.2,16.4,16.4,16.2,10.2,7.2,16.1,16.1,16.3,16.1,16.3,16.3,16.2,16.1
2,16.4,16.6,16.9,16.7,16.4,16.2,10.7,7.5,16.1,16.0,16.2,16.1,16.3,16.2,16.0,16.1
3,17.6,17.4,17.5,16.6,16.4,16.2,10.8,7.7,16.0,16.0,16.1,16.0,16.2,16.0,15.9,16.1
