time,a0,a2,a3,a4,a5,a6,
20:01:19,18.80,18.74,24.08,23.58,18.80,18.84,
20:01:19,18.71,18.74,22.16,23.57,18.88,18.84,
20:01:20,18.71,18.74,24.34,23.58,18.88,18.84,
20:01:20,18.80,18.74,23.73,23.58,18.88,18.84,
20:01:21,18.71,18.74,22.51,23.57,18.88,18.84,
20:01:21,18.80,18.74,24.25,23.57,18.88,18.84,
20:01:22,18.80,18.74,23.03,23.57,18.80,18.84,
20:01:22,18.80,18.74,23.47,23.57,18.88,18.84,
20:01:23,18.80,18.74,24.17,23.57,18.88,18.84,
20:01:23,18.71,18.71,22.16,22.16,18.88,18.88,
20:01:24,18.80,18.76,24.34,23.25,18.88,18.88,
20:01:24,18.80,18.77,23.73,23.41,18.80,18.86,
20:01:25,18.71,18.76,22.60,23.21,18.88,18.86,
20:01:25,18.71,18.75,24.25,23.42,18.88,18.87,
20:01:26,18.71,18.74,23.03,23.35,18.80,18.86,
20:01:26,18.80,18.75,23.55,23.38,18.88,18.86,
20:01:27,18.71,18.74,24.17,23.48,18.80,18.85,
20:01:27,18.71,18.74,22.25,23.34,18.88,18.86,
20:01:28,18.80,18.75,24.25,23.43,18.80,18.85,
20:01:28,18.71,18.74,23.99,23.48,18.88,18.85,
20:01:29,18.80,18.75,22.25,23.38,18.88,18.86,
20:01:29,18.80,18.75,24.34,23.46,18.88,18.86,
20:01:30,18.71,18.75,23.47,23.46,18.80,18.85,
20:01:30,18.80,18.75,23.03,23.43,18.88,18.86,
20:01:31,18.80,18.76,24.52,23.50,18.80,18.85,
20:01:31,18.71,18.75,22.25,23.42,18.88,18.85,
20:01:32,18.80,18.76,24.17,23.46,18.88,18.86,
20:01:32,18.80,18.76,24.17,23.50,18.80,18.85,
20:01:33,18.71,18.76,21.82,23.42,18.88,18.85,
20:01:33,18.80,18.76,24.69,23.48,18.88,18.86,
20:01:34,18.80,18.76,23.64,23.49,18.88,18.86,
20:01:34,18.80,18.76,22.51,23.44,18.88,18.86,
20:01:35,18.80,18.76,24.52,23.49,18.88,18.86,
20:01:35,18.71,18.76,22.51,23.45,18.88,18.86,
20:01:36,18.71,18.76,23.82,23.46,18.88,18.86,
20:01:36,18.71,18.76,24.25,23.49,18.88,18.86,
20:01:37,18.71,18.76,21.82,23.43,18.80,18.86,
20:01:37,18.80,18.76,24.60,23.47,18.80,18.86,
20:01:38,18.71,18.76,23.90,23.49,18.80,18.86,
